
2026/06/14 (12:12:48) | ===> btop++ v.1.3.2
2026/06/14 (12:12:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/06/14 (16:09:16) | ===> btop++ v.1.3.2
2026/06/14 (16:09:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/06/14 (22:53:55) | ===> btop++ v.1.3.2
2026/06/14 (22:53:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/06/18 (15:27:12) | ===> btop++ v.1.3.2
2026/06/18 (15:27:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/06/20 (09:29:48) | ===> btop++ v.1.3.2
2026/06/20 (09:29:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2026/06/20 (09:30:51) | WARNING: Failed to join _runner thread on exit!

2026/06/22 (14:37:54) | ===> btop++ v.1.3.2
2026/06/22 (14:37:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2026/06/22 (14:47:57) | ERROR: Stall in Runner thread, restarting!
2026/06/22 (14:48:19) | ERROR: Stall in Runner thread, restarting!
2026/06/22 (14:48:54) | ERROR: Stall in Runner thread, restarting!

2026/06/22 (15:03:09) | ===> btop++ v.1.3.2
2026/06/22 (15:03:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2026/06/22 (16:31:32) | WARNING: Failed to join _runner thread on exit!

2026/06/26 (15:24:22) | ===> btop++ v.1.3.2
2026/06/26 (15:24:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/06/26 (15:24:38) | ===> btop++ v.1.3.2
2026/06/26 (15:24:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2026/06/27 (14:27:20) | WARNING: Failed to join _runner thread on exit!

2026/06/27 (15:00:20) | ===> btop++ v.1.3.2
2026/06/27 (15:00:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/07/03 (19:54:30) | ===> btop++ v.1.3.2
2026/07/03 (19:54:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2026/07/03 (19:54:50) | WARNING: Failed to join _runner thread on exit!

2026/07/04 (07:11:49) | ===> btop++ v.1.3.2
2026/07/04 (07:11:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2026/07/04 (07:12:08) | WARNING: Failed to join _runner thread on exit!

2026/07/04 (07:30:21) | ===> btop++ v.1.3.2
2026/07/04 (07:30:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/07/05 (08:42:34) | ===> btop++ v.1.3.2
2026/07/05 (08:42:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/07/05 (16:35:42) | ===> btop++ v.1.3.2
2026/07/05 (16:35:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2026/07/05 (17:14:41) | WARNING: Failed to join _runner thread on exit!

2026/07/05 (17:14:44) | ===> btop++ v.1.3.2
2026/07/05 (17:14:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/07/05 (20:49:13) | ===> btop++ v.1.3.2
2026/07/05 (20:49:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2026/07/05 (21:58:55) | WARNING: Failed to join _runner thread on exit!

2026/07/06 (07:04:30) | ===> btop++ v.1.3.2
2026/07/06 (07:04:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/07/06 (18:49:35) | ===> btop++ v.1.3.2
2026/07/06 (18:49:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/07/08 (06:04:23) | ===> btop++ v.1.3.2
2026/07/08 (06:04:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2026/07/08 (06:04:54) | WARNING: Failed to join _runner thread on exit!

2026/07/08 (15:46:19) | ===> btop++ v.1.3.2
2026/07/08 (15:46:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2026/07/08 (15:47:11) | WARNING: Failed to join _runner thread on exit!

2026/07/09 (16:32:46) | ===> btop++ v.1.3.2
2026/07/09 (16:32:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2026/07/09 (16:32:59) | WARNING: Failed to join _runner thread on exit!

2026/07/09 (22:51:56) | ===> btop++ v.1.3.2
2026/07/09 (22:51:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2026/07/09 (23:35:30) | ===> btop++ v.1.3.2
2026/07/09 (23:35:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2026/07/09 (23:35:53) | WARNING: Failed to join _runner thread on exit!

2026/07/10 (21:19:32) | ===> btop++ v.1.3.2
2026/07/10 (21:19:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2026/07/10 (21:26:32) | WARNING: Failed to join _runner thread on exit!

2026/07/10 (22:11:55) | ===> btop++ v.1.3.2
2026/07/10 (22:11:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2026/07/10 (22:39:05) | WARNING: Failed to join _runner thread on exit!
